"","WRB4","count"
" Acrisols"," Acrisols",91
" Andosols"," Andosols",595
" Anthrosols"," Anthrosols",203
" Arenosols"," Arenosols",4256
" Cambisols"," Cambisols",133
" Ferrasols"," Ferrasols",119
" Gleysols"," Gleysols",1148
" Gypsisols"," Gypsisols",343
" Lixisols"," Lixisols",7
" Luvisols"," Luvisols",105
" Nitisols"," Nitisols",1848
" Phaeozems"," Phaeozems",49
"Acric Umbrisols","Acric Umbrisols",1155
"Albic Lixisols","Albic Lixisols",7
"Albic Luvisols","Albic Luvisols",973
"Albic Plinthosols","Albic Plinthosols",1379
"Albic Podzols","Albic Podzols",3094
"Alic Stagnosols","Alic Stagnosols",14
"Alic Umbrisols","Alic Umbrisols",245
"Andic Cryosols","Andic Cryosols",28
"Arenic Gleysols","Arenic Gleysols",868
"Brunic Arenosols","Brunic Arenosols",2583
"Calcaric Arenosols","Calcaric Arenosols",2170
"Calcaric Cambisols","Calcaric Cambisols",25517
"Calcaric Fluvisols","Calcaric Fluvisols",7483
"Calcaric Regosols","Calcaric Regosols",14000
"Calcic Chernozems","Calcic Chernozems",1036
"Calcic Gleysols","Calcic Gleysols",1085
"Calcic Gypsisols","Calcic Gypsisols",742
"Calcic Kastanozems","Calcic Kastanozems",3150
"Calcic Luvisols","Calcic Luvisols",4039
"Calcic Solonchaks","Calcic Solonchaks",1036
"Calcic Solonetz","Calcic Solonetz",329
"Calcic Vertisols","Calcic Vertisols",2814
"Calcisols ","Calcisols ",21
"Cambic Cryosols","Cambic Cryosols",910
"Cambic Umbrisols","Cambic Umbrisols",2282
"Carbic Podzols","Carbic Podzols",385
"Chernozems","Chernozems",70
"Chromic Cambisols","Chromic Cambisols",13034
"Chromic Luvisols","Chromic Luvisols",8246
"Claric Arenosols","Claric Arenosols",1715
"Dystric Cambisols","Dystric Cambisols",5999
"Dystric Fluvisols","Dystric Fluvisols",2296
"Dystric Gleysols","Dystric Gleysols",5271
"Dystric Leptosols","Dystric Leptosols",2597
