tax,Count,CSSC_Class,SSL_classification_name
gray luvisol,6318,Orthic Gray Luvisol,Boralfs
orthic gray luvisol,5581,Orthic Gray Luvisol,typic cryoboralfs / typic eutroboralfs
,5536,,
humo-ferric podzol,4611,Orthic Humo-Ferric Podzol,Cryorthods / Haplorthods
black chernozem,4551,Orthic Black Chernozem,Udic Boroll
eluviated dystric brunisol,4321,Eluviated Dystric Brunisol,Dystrochrepts / Cryochrepts
humic gleysol,3517,Orthic Humic Gleysol,Aquolls / Humaquepts
eutric brunisol,3153,Orthic Eutric Brunisol,Cryochrepts / Eutrochrepts
orthic humo-ferric podzol,2779,Orthic Humo-Ferric Podzol,Cryorthods / Haplorthods
orthic black chernozem,2735,Orthic Black Chernozem,Udic Boroll
gleysol gleysol,2693,Orthic Gleysol,Aquents / Fluvents / Aquepts
orthic gray luvisol luvisol,2589,Orthic Gray Luvisol,typic cryoboralfs / typic eutroboralfs
eluviated eutric brunisol,2566,Eluviated Eutric Brunisol,Cryochrepts / Eutrochrepts
orthic eutric brunisol,2424,Orthic Eutric Brunisol,Cryochrepts / Eutrochrepts
dystric brunisol,2302,Orthic Dystric Brunisol,Dystrochrepts / Cryochrepts
gray brown luvisol,1821,Orthic Gray Brown Luvisol,Hapludalfs / Glossudalfs
brunisolic gray luvisol,1804,Brunisolic Gray Luvisol,typic cryoboralfs / typic eutroboralfs
mesisol organic,1800,Typic Mesisol,typic haplohemists / typic cryohemists
dark gray chernozem,1659,Orthic Dark Gray Chernozem,Boralfic Boroll / Albolls
luvic gleysol,1628,Orthic Luvic Gleysol,Argialbolls / Argiaquolls / Aqualfs
orthic dystric brunisol,1499,Orthic Dystric Turbic Cryosol,Turbels
melanic brunisol,1265,Orthic Melanic Brunisol,Cryochrepts / Eutrochrepts / Hapludolls
turbic cryosol,1212,Orthic Eutric Turbic Cryosol,Turbels
orthic dark gray chernozem,1138,Orthic Dark Gray Chernozem,Boralfic Boroll / Albolls
brunisolic gray luvisol luvisol,1098,Brunisolic Gray Luvisol,Boralfs
orthic gleysol gleysol,1019,Orthic Gleysol,Aquents / Fluvents / Aquepts
orthic luvic gleysol,992,Orthic Luvic Gleysol,Argialbolls / Argiaquolls / Aqualfs
regosol regosol,967,Orthic Regosol,Orthents / Orthels
