FAO_90,COUNTA of FAO_90,FAO_90,USCL_2,Class_1,Class_2,Class_3
ACf,268,Ferric Acrisol,Haploxerult,Typic Paleudults,Oxic Paleustults,Haploxerult
ACg,47,Gleyic Acrisol,Ochraquult,Aeric Paleaquults,Aquic Hapludult,Ochraquult
ACh,404,Haplic Acrisol,Haplustult,Typic Kandiustult,Typic Paleudult,Haplustult
ACp,90,Plinthic Acrisol,#N/A,Plinthic Kandihumult,Plinthudult,
ACu,68,Humic Acrisol,Palehumult,Orthoxic Palehumult,Typic Kandihumult,
ALf,55,Ferric Alisol,#N/A,Oxic Paleustults,Petroferric Haplustults,
ALg,37,Gleyic Alisol,#N/A,Typic Hapludult,Typic Paleudult,
ALh,68,Haplic Alisol,#N/A,Typic Hapludult,Typic Paleudult,
ALj,7,Stagnic Alisol,#N/A,,,
ALp,8,Plinthic Alisol,#N/A,Plinthic Haplustult,Plinthudult,
ALu,10,Humic Alisol,#N/A,Andic Palehumults,Humic Troporthods,
ANg,7,Gleyic Andosol,#N/A,Aquic Hapludand,Aquic Hydric Dystrandept,
ANh,36,Haplic Andosol,Dystrandept,Placandept,Typic Dystrandept,
ANm,45,Mollic Andosol,Eutrandept,Udic Eutrandept,Eutrandept,
ANu,113,Umbric Andosol,Dystrandept,Typic Dystrandept,Dystrandept,
ANz,87,Vitric Andosol,Vitrandept,Typic Vitricryand,Vitrandept,
ARa,34,Albic Arenosol,Quartzipsamment,Aquic Quartzipsamments,,
ARb,69,Cambic Arenosol,Ustipsamment,Typic Udipsamment,Typic Xeropsamment,
ARc,59,Calcaric Arenosol,#N/A,Typic Torripsamment,Typic Xeropsamment,
ARg,61,Gleyic Arenosol,#N/A,Aquic Quartzipsamments,Aquic Quartzipsamments (prov.),
ARh,258,Haplic Arenosol,#N/A,Typic Torripsamment,Typic Quartzipsamment,
ARl,163,Luvic Arenosol,Cryopsamment,Alfic Ustipsamment,Arenic Haplocambid,
ARo,145,Ferralic Arenosol,Ustipsamment,Typic Quartzipsamments,Ustoxic Quartzipsamment,
ATc,8,Cumulic Anthrosol,#N/A,Anthropic Torrifluvent,Plaggept,
ATf,10,Fimic Anthrosol,#N/A,Cumulic Haplustoll,Plagganthrept,
ATu,1,Urbic Anthrosol,#N/A,Typic Haplaquox,,
CHg,9,Gleyic Chernozem,#N/A,Aquic Haploboroll,Fluvaquentic Haploboroll,
CHh,69,Haplic Chernozem,Vermustoll,Typic Hapludoll,Udic Haploboroll,
CHk,63,Calcic Chernozem,Vermustoll,Aridic Calciboroll,Aridic Calciustoll,Vermustoll
CHl,64,Luvic Chernozem,Argiudolls,Typic Argiboroll,Typic Argialboll,
CHw,3,Glossic Chernozem,Cryoboroll,Aquic Calciboroll,Typic Calciaquoll,
CLh,141,Haplic Calcisol,Calciorthid,Typic Calciorthid,Calciorthid,
CLl,36,Luvic Calcisol,#N/A,Typic Calciorthid,Typic Haplargid,
CLp,41,Petric Calcisol,#N/A,Calcic Xerochrept,Petrocalcic Palexerolls,
CMc,191,Calcaric Cambisol,Xerochrept,Fluventic Camborthid,Typic Camborthid,Xerochrept
CMd,189,Dystric Cambisol,Dystrochrept,Typic Dystrochrept,Typic Dystropept,
CMe,315,Eutric Cambisol,Cryiochrept,Typic Eutropept,Eutrochrept,
CMg,135,Gleyic Cambisol,Dystrochrept,Typic Tropaquepts,Aquic Dystropept,
CMi,37,Gelic Cambisol,Cryaquept,Pergelic Ruptic Cryaquent,Pergelic Cryochrept,
CMo,161,Ferralic Cambisol,Dystropept,Ustoxic Dystropept,Oxic Dystropept,
CMu,121,Humic Cambisol,Haplumbrept,Typic Humitropept,Andic Humitropept,Haplumbrept
CMv,80,Vertic Cambisol,Xerochrept,Vertic Eutrochrept,Vertic Ustropept,
CMx,66,Chromic Cambisol,Xerochrept,Typic Xerochrept,Dystric Eutrochrept,
FLc,140,Calcaric Fluvisol,Fluvent,Typic Torrifluvent,Typic Ustifluvent,
FLd,71,Dystric Fluvisol,Fluvaquent,Fluvaquent,Tropofluvent,
FLe,229,Eutric Fluvisol,Fluvaquent,Typic Tropaquepts,Aeric Tropaquepts,
FLm,42,Mollic Fluvisol,#N/A,Mollic Fluvaquent,Mollic Ustifluvents,
FLs,13,Salic Fluvisol,#N/A,Tropic Fluvaquent,Typic Fluvaquent,
FLt,50,Thionic Fluvisol,Tropaquept,Sulfic Tropaquepts,Typic Sulfaquent,
FLu,18,Umbric Fluvisol,#N/A,Aeric Tropaquept,Aeric Tropic Fluvaquent,
FRg,37,Geric Ferralsol,Acrorthox,Haplic Acrorthox,Rhodic Acrustox,
FRh,213,Haplic Ferralsol,Haplustox,Tropeptic Haplustox,Typic Haplustox,
FRp,12,Plinthic Ferralsol,#N/A,Plinthic Umbraquox,Plinthic Haplustox,
FRr,101,Rhodic Ferralsol,Orthox,Typic Haplustox,Rhodic Haplustox,
FRu,56,Humic Ferralsol,Haplustox,Humic Hapludox,Humic Haplustox,
FRx,109,Xanthic Ferralsol,Haplustox,Haplorthox,Typic Haplustox,
GLa,1,Andic Gleysol,#N/A,Andic Histic Cryaquept,,
GLd,105,Dystric Gleysol,Humaquept,Aeric Tropaquept,Tropaquent,
GLe,277,Eutric Gleysol,Haplaquept,Typic Tropaquept,Aeric Tropaquept,
GLi,16,Gelic Gleysol,Cryaquept,Pergelic Cryaquept,Histic Pergelic Cryaquept,
GLk,14,Calcic Gleysol,Haplaquept,Typic Haplaquent,Typic Haplaquept,
GLm,107,Mollic Gleysol,Haplaquoll,Mollic Haplaquept,Typic Haplaquoll,
GLt,5,Thionic Gleysol,#N/A,Aeric Humic Cryaquept,Sulfaquent,
GLu,71,Umbric Gleysol,Humaquept,Aeric Tropaquept,Humoxic Haplaquept,Fluvaquentic Humaquept
GRg,3,Gleyic Greyzem,Argiaquoll,Argiaquoll,,
GRh,24,Haplic Greyzem,Argiboroll,Boralfic Argiboroll,,
GYh,8,Haplic Gypsisol,#N/A,Cambic Gypsiorthid,Typic Gypsiorthid,
GYk,20,Calcic Gypsisol,#N/A,Cambic Gypsiorthid,Typic Calciorithids,
GYl,2,Luvic Gypsisol,#N/A,Borollic Paleargid,,
GYp,7,Petric Gypsisol,#N/A,Petrogypsic Gypsiorthids,Gypsiorthid,
HSf,41,Fibric Histosol,#N/A,Fibric Tropohemist,Tropohemist,
HSi,10,Gelic Histosol,Cryohemist,Pergelic Cryohemist,Pergelic Cryosaprist,
HSl,3,Folic Histosol,#N/A,Folic Histosol,,
HSs,48,Terric Histosol,#N/A,Medisaprist,Borohemist,
HSt,10,Thionic Histosol,#N/A,Fluvaquentic Tropofibrist,Thionic Histosol,
KSh,25,Haplic Kastanozem,Haplustoll,Entic Haplustoll,Typic Haplustoll,
KSk,45,Calcic Kastanozem,Vermiboroll,Aridic Haploboroll,Typic Cryoboroll,
KSl,27,Luvic Kastanozem,Argiustoll,Aridic Argiboroll,Argic Durustoll,
LPd,79,Dystric Leptosol,#N/A,Lithic Torriorthent,Lithic Troporthents,
LPe,86,Eutric Leptosol,#N/A,Lithic Torriorthent,Lithic Udorthent,
LPi,3,Gelic Leptosol,#N/A,,,
LPk,46,Rendzic Leptosol,#N/A,Rendoll,Typic Rendolls,
LPm,40,Mollic Leptosol,Rendoll,Lithic Hapludoll,Cryic Lithic Rendoll,
LPq,22,Lithic Leptosol,,Lithic Troporthent,Lithic Udorthent,
LPu,48,Umbric Leptosol,Haplumbrept,Entic Lithic Dystrandept,Lithic Haplumbrept,
LVa,34,Albic Luvisol,Cryoboralf,Typic Cryoboralf,Aquic Glossudalf,
LVf,115,Ferric Luvisol,#N/A,Aquic Tropudalf,Typic Haplustalf,
LVg,180,Gleyic Luvisol,Ochraqualf,Aeric Tropaqualfs,Tropaqualf,
LVh,321,Haplic Luvisol,Haplargid,Typic Hapludalf,Ultic Haplustalfs,
LVj,77,Stagnic Luvisol,#N/A,Aquic Hapludalf,Aeric Epiaqualf,
LVk,131,Calcic Luvisol,Rhodoxeralf,Typic Haplustalf,Borollic Haplargid,
LVv,37,Vertic Luvisol,Parexeralf,Vertic Haplustalf,Calcic Natric Palexeralf,
LVx,240,Chromic Luvisol,Rhodoxeralf,Typic Hapludalfs,Typic Haplustalf,
LXa,3,Albic Lixisol,#N/A,,,
LXf,189,Ferric Lixisol,Haploxeralf,Oxic Haplustalf,Oxic Paleustalf,
LXg,36,Gleyic Lixisol,#N/A,Typic Tropaqualfs,Aquic Haplustalf,
LXh,226,Haplic Lixisol,#N/A,Kandic Paleustalfs,Oxic Paleustalf,
LXj,1,Stagnic Lixisol,#N/A,,,
LXp,19,Plinthic Lixisol,Plinthustalf,Aridic Haplustalf,Plinthic Kandiustalf,
NTh,67,Haplic Nitisol,Paleudult,Typic Paleudult,Ultic Paleustalf,
NTr,45,Rhodic Nitisol,Paleustult,Rhodic Paleustalf,Kandic Paleustalf,
NTu,27,Humic Nitisol,Paleustalf,Typic Palehumult,Typic Tropohumult,
PDd,22,Dystric Podzoluvisol,Glossudalf,Glossic Fragiudalf,Glossic Fragiudult,
PDe,70,Eutric Podzoluvisol,Cryoboralf,Aquic Glossudalf,,
PDg,17,Gleyic Podzoluvisol,Glossaqualf,Aeric Glossaqualf,Aeric umbric Fragiaqualf,
PDj,6,Stagnic Podzoluvisol,#N/A,,,
PHc,39,Calcaric Phaeozem,Haploboroll,Typic Vermudoll,Typic Haplustolls,
PHg,30,Gleyic Phaeozem,Argiaquoll,Typic Argiaquoll,Aquic Hapludoll,
PHh,127,Haplic Phaeozem,Hapludoll,Typic Hapludoll,Typic Hapludolls,
PHj,11,Stagnic Phaeozem,#N/A,Aquic Argiudoll,Aquic Haplustolls,
PHl,194,Luvic Phaeozem,Argiudoll,Typic Argiudoll,Pachic Argiustolls,
PLd,39,Dystric Planosol,Albaquult,Aeric Albaqualf,Aeric Albaquult,
PLe,102,Eutric Planosol,Albaqualf,Typic Albaqualf,Aeric Tropaqualf,
PLm,19,Mollic Planosol,Argialboll,Argiaquic Argialboll,Typic Argialboll,
PLu,6,Umbric Planosol,Paleustalf,,,
PTa,20,Albic Plinthosol,#N/A,Aquic Udorthents,Plinthaquic Paleudalf,
PTd,47,Dystric Plinthosol,Paleaquult,Oxic Plinthaquults,Oxic Plinthudults,
PTe,28,Eutric Plinthosol,#N/A,Plinthustalf,Plinhustalf,
PTu,3,Humic Plinthosol,#N/A,Plinthic Umbraquox,Plinthaquept,
PZb,20,Cambic Podzol,Haplorthod,Andic Cryorthod,Arenic Eutrochrept,
PZc,37,Carbic Podzol,Tropohumod,Typic Tropaquod,Aquic Quartzipsamment,Tropohumod
PZf,8,Ferric Podzol,Ferrod,Entic Cryorthod,Ferrod,
PZg,52,Gleyic Podzol,Cryaquod,Typic Placaquod,Typic Haplorthod,
PZh,87,Haplic Podzol,Haplorthod,Typic Haplorthod,Alfic Haplorthod,
PZi,18,Gelic Podzol,#N/A,Cryic Placohumod,Fragihumod,
RGc,104,Calcaric Regosol,Orthent,Typic Torriorthent,Typic Torrifluvent,
RGd,72,Dystric Regosol,Udipsamment,Lithic Troporthent,Typic Troporthent,
RGe,187,Eutric Regosol,Orthent,Lithic Ustorthent,Typic Ustorthent,
RGi,14,Gelic Regosol,Cryaquept,Calcic Anhyortel,Pergelic Cryofluvent,
RGu,13,Umbric Regosol,#N/A,,,
RGy,3,Gypsic Regosol,#N/A,Lithic Udispsamment,Typic Ustorthent,Ustic Torrirorthent
SCg,42,Gleyic Solonchak,Halaquept,Typic Aquisalid,Typic Halaquept,Halaquept
SCh,31,Haplic Solonchak,Salorthid,Aeric Halaquept,Natric Camborthid,Salorthid
SCi,4,Gelic Solonchak,#N/A,Calcic Anhyortel,Nitric Anhyorthel,
SCk,21,Calcic Solonchak,#N/A,Typic Salorthid,Calciorthid,
SCm,8,Mollic Solonchak,Haplustoll,Aquollic Salorthid,Entic Haploboroll,Haplustoll
SCn,33,Sodic Solonchak,#N/A,Typic Salorthid,Typic Torrifluvent,
SCy,26,Gypsic Solonchak,#N/A,Typic Salorthid,Gypsic Halaquept,Petrocalcic Petrogypsid
SNg,52,Gleyic Solonetz,Natraqualf,Typic Natraqualf,Natraquoll,
SNh,90,Haplic Solonetz,Natrustalf,Borollic Natrargid,Typic Natrargids,
SNj,19,Stagnic Solonetz,#N/A,Glossic Natraqualf,Glossic Natrustalf,
SNk,37,Calcic Solonetz,#N/A,Typic Natrargids,Aquic Natrargids,
SNm,29,Mollic Solonetz,Natrustoll,Borollic Natrargid,Mollic Natraqualf,Natrustoll
SNy,4,Gypsic Solonetz,#N/A,Borollic Natrargid,Typic Natrargids,
VRd,18,Dystric Vertisol,#N/A,Aquentic Chromuderts,Typic Pellusterts,
VRe,367,Eutric Vertisol,#N/A,Typic Chromustert,Entic Chromusterts,
VRk,161,Calcic Vertisol,#N/A,Typic Chromustert,Typic Pellustert,
VRy,5,Gypsic Vertisol,#N/A,Typic Torrert,Udorthentic Chromustert,
Grand Total,10253,,,,,
