Great.Group,SSL_classification_name,count
Aquiturbel,typic aquiturbels,307
Halporthel,typic historthels,16
Aquiturbel,typic aquiturbels,6
Aquorthel,typic aquorthels,256
Fibristel,terric fibristels,390
Glacistel,typic glacistel,13
Haplorthel,typic haplorthels,33
Haploturbel,typic haploturbels,9
Hemistel,terric hemistels,1500
Historthel,typic historthels,173
Histoturbel,typic histoturbels,597
Molliturbel,typic molliturbel,19
Psammoturbel,typic psammoturbel,6
Sapristel,terric sapristels,129
