"","WRB","count"
"Abruptic Acrisol Cromic","Abruptic Acrisol Cromic",1
"Abruptic Acrisol Esqueletic","Abruptic Acrisol Esqueletic",1
"Abruptic Acrisol Humic","Abruptic Acrisol Humic",2
"Abruptic Chernozem Luvic","Abruptic Chernozem Luvic",1
"Abruptic Lixisol Hiposodic","Abruptic Lixisol Hiposodic",2
"Abruptic Luvisol","Abruptic Luvisol",2
"Abruptic Luvisol Albic","Abruptic Luvisol Albic",1
"Abruptic Luvisol Aridic","Abruptic Luvisol Aridic",1
"Abruptic Luvisol Calcaric","Abruptic Luvisol Calcaric",2
"Abruptic Luvisol Cromic","Abruptic Luvisol Cromic",2
"Abruptic Luvisol Cutanic","Abruptic Luvisol Cutanic",1
"Abruptic Luvisol Distric","Abruptic Luvisol Distric",1
"Abruptic Luvisol Endoesqueletic","Abruptic Luvisol Endoesqueletic",3
"Abruptic Luvisol Epidistric","Abruptic Luvisol Epidistric",1
"Abruptic Luvisol Epiesqueletic","Abruptic Luvisol Epiesqueletic",2
"Abruptic Luvisol Esqueletic","Abruptic Luvisol Esqueletic",3
"Abruptic Luvisol Hiperdistric","Abruptic Luvisol Hiperdistric",2
"Abruptic Luvisol Hiposodic","Abruptic Luvisol Hiposodic",2
"Abruptic Luvisol Humic","Abruptic Luvisol Humic",12
"Abruptic Luvisol Profondic","Abruptic Luvisol Profondic",3
"Abruptic Luvisol Rodic","Abruptic Luvisol Rodic",1
"Abruptic Phaeozem","Abruptic Phaeozem",1
"Abruptic Phaeozem Esqueletic","Abruptic Phaeozem Esqueletic",1
"Abruptic Phaeozem Paquic","Abruptic Phaeozem Paquic",2
"Abruptic Phaeozem Siltic","Abruptic Phaeozem Siltic",1
"Abruptic Planosol Epiesqueletic","Abruptic Planosol Epiesqueletic",1
"Abruptic Regosol Esqueletic","Abruptic Regosol Esqueletic",1
"Abruptic,Acric Ferralsol","Abruptic,Acric Ferralsol",1
"Abruptic,Albic Solonetz","Abruptic,Albic Solonetz",2
"Abruptic,Arenic Lixisol","Abruptic,Arenic Lixisol",1
"Abruptic,Calcic Luvisol","Abruptic,Calcic Luvisol",1
"Abruptic,Endogleyic Luvisol","Abruptic,Endogleyic Luvisol",1
"Abruptic,Humic Lixisol","Abruptic,Humic Lixisol",1
"Abruptic,Hyposodic Luvisol","Abruptic,Hyposodic Luvisol",1
"Abruptic,Salic Solonetz","Abruptic,Salic Solonetz",1
"Abruptic,Stagnic Solonetz","Abruptic,Stagnic Solonetz",1
"Acric Ferralsol","Acric Ferralsol",5
"Acric Ferralsol Alumic,Clayic,Xanthic","Acric Ferralsol Alumic,Clayic,Xanthic",1
"Acric Ferralsol Alumic,Hyperdystric,Xanthic","Acric Ferralsol Alumic,Hyperdystric,Xanthic",1
"Acric Ferralsol Ferric,Xanthic","Acric Ferralsol Ferric,Xanthic",103
"Acric Ferralsol Sombric,Humic,Alumic,Clayic","Acric Ferralsol Sombric,Humic,Alumic,Clayic",1
"Acric,Acric,Albi Plinthosol Albic,Abruptic,Abruptic","Acric,Acric,Albi Plinthosol Albic,Abruptic,Abruptic",1
"Acric,Acric,Alumi Ferralsol Alumic,Siltic","Acric,Acric,Alumi Ferralsol Alumic,Siltic",1
