"analyte_key","analyte_type","analyte_name","analyte_abbrev","analyte_code","analyte_data_type","analyte_format","uom_abbrev","analyte_source_type","analyte_agg_method","analyte_algorithm","analyte_desc","analyte_size_frac_base"
284,"aggregate analyte","Clay, Fine, Moist","clay_f_moist","ClyFMp","F","4.1","% wt","layer","mean","To Be Added","Fine clay is the <0.0002 mm particle diameter soil separate. It is reported as a weight percent of the <2mm fraction.",
283,"aggregate analyte","Clay, Carbonate, Moist","co3_cly_moist","CClyMp","F","4.1","% wt","layer","mean","To Be Added","Carbonate clay is the part of <0.002 mm diameter particles that are composed of carbonates. It is reported as a weight percent of the <2 mm fraction.",
282,"aggregate analyte","Clay PSDA, Moist, Pipet","clay_tot_Moist","ClyTMp","F","4.1","% wt","layer","mean","To Be Added","Total clay is the soil separate with <0.002 mm particle diameter. Clay size carbonate is included. Total clay is reported as a weight percent of the <2 mm fraction., PSDA, Moist, Pipet",
281,"aggregate analyte","Silt, Fine PSDA, Moist, NaOH, Pipet","silt_f_Moist_NaOH","SiFMH","F","4.1","% wt","layer","mean","To Be Added","Fine silt is the soil separate with 0.002 to 0.02 mm particle diameter. It is reported as a gravimetric percent on a <2 mm base., PSDA, Moist, NaOH, Pipet",
280,"aggregate analyte","Sand, Very Fine PSDA, Moist, NaOH, Pipet","sand_vf_Moist_NaOH","SdVFMH","F","4.1","% wt","layer","mean","To Be Added","Very fine sand is the soil separate with 0.05 to 0.10 mm particle diameter. It is reported as a gravimetric percent on a <2 mm base., PSDA, Moist, NaOH, Pipet",
279,"aggregate analyte","Sand, Very Coarse PSDA, Moist, NaOH, Pipet","sand_vc_Moist_NaOH","SdVCMH","F","4.1","% wt","layer","mean","To Be Added","Very coarse sand is the soil separate with 1.0 to 2.0 mm particle diameter. It is reported as a gravimetric percent on a <2 mm base., PSDA, Moist, NaOH, Pipet",
278,"aggregate analyte","Sand, Medium PSDA, Moist, NaOH, Pipet","sand_m_Moist_NaOH","SndMMH","F","4.1","% wt","layer","mean","To Be Added","Medium sand is the soil separate with 0.25 to 0.50 mm particle diameter. It is reported as a gravimetric percent on a <2 mm base., PSDA, Moist, NaOH, Pipet",
277,"aggregate analyte","Sand, Fine PSDA, Moist, NaOH, Pipet","sand_f_Moist_NaOH","SndFMH","F","4.1","% wt","layer","mean","To Be Added","Fine sand is the soil separate with 0.10 to 0.25 mm diameter particles. It is reported as a gravimetric percent on a <2 mm base., PSDA, Moist, NaOH, Pipet",
276,"aggregate analyte","Sand, Coarse PSDA, Moist, NaOH, Pipet","sand_c_Moist_NaOH","SndCMH","F","4.1","% wt","layer","mean","To Be Added","Coarse sand is the soil separate with 0.5 to 1.0 mm particle diameter. It is reported a gravimetric percent on a <2 mm base., PSDA, Moist, NaOH, Pipet",
275,"aggregate analyte","Clay PSDA, Moist, NaOH, Pipet","clay_tot_Moist_NaOH","ClyTMH","F","4.1","% wt","layer","mean","To Be Added","Total clay is the soil separate with <0.002 mm particle diameter. Clay size carbonate is included. Total clay is reported as a weight percent of the <2 mm fraction., PSDA, Moist, NaOH, Pipet",
274,"aggregate analyte","Silt, Fine PSDA, Moist, NaOAc, Pipet","silt_f_Moist_NaOAc","SiFMN","F","4.1","% wt","layer","mean","To Be Added","Fine silt is the soil separate with 0.002 to 0.02 mm particle diameter. It is reported as a gravimetric percent on a <2 mm base., PSDA, Moist, NaOAc, Pipet",
273,"aggregate analyte","Sand, Very Fine PSDA, Moist, NaOAc, Pipet","sand_vf_Moist_NaOAc","SdVFMN","F","4.1","% wt","layer","mean","To Be Added","Very fine sand is the soil separate with 0.05 to 0.10 mm particle diameter. It is reported as a gravimetric percent on a <2 mm base., PSDA, Moist, NaOAc, Pipet",
272,"aggregate analyte","Sand, Very Coarse PSDA, Moist, NaOAc, Pipet","sand_vc_Moist_NaOAc","SdVCMN","F","4.1","% wt","layer","mean","To Be Added","Very coarse sand is the soil separate with 1.0 to 2.0 mm particle diameter. It is reported as a gravimetric percent on a <2 mm base., PSDA, Moist, NaOAc, Pipet",
271,"aggregate analyte","Sand, Medium PSDA, Moist, NaOAc, Pipet","sand_m_Moist_NaOAc","SndMMN","F","4.1","% wt","layer","mean","To Be Added","Medium sand is the soil separate with 0.25 to 0.50 mm particle diameter. It is reported as a gravimetric percent on a <2 mm base., PSDA, Moist, NaOAc, Pipet",
270,"aggregate analyte","Sand, Fine PSDA, Moist, NaOAc, Pipet","sand_f_Moist_NaOAc","SndFMN","F","4.1","% wt","layer","mean","To Be Added","Fine sand is the soil separate with 0.10 to 0.25 mm diameter particles. It is reported as a gravimetric percent on a <2 mm base., PSDA, Moist, NaOAc, Pipet",
2026,"derived_analyte","Cation Exchange Capacity, Effective, CECd-Set 26","ecec_cecd26","ECEC_d-32_S","F","4.1","meq/100g","layer",,"Sum of bases + AL_KCL","The effective cation exchange capacity is calculated by BASE_SUM+AL_KCL. It is not calculated if soluble salts are present. It is reported as meq per 100 grams on a <2 mm base.","<2 mm"
2025,"derived_analyte","Organic Carbon, Est, to 40 cm, Weighted Average, GP Prep","eoc_40cm_wtavg","eoc40avg_d-1_GP","F","4.1","% wt","pedon",,"to be added","Weighted average estimated organic carbon for top 40 cm","<2 mm"
2024,"derived_analyte","Organic Carbon, Est, to 40 cm, Weighted Average, N Prep","eoc_40cm_wtavg","eoc40avg_d-1_N","F","4.1","% wt","pedon",,"to be added","Weighted average estimated organic carbon for top 40 cm","<2 mm"
2023,"derived_analyte","Organic Carbon, Est, to 40 cm, Weighted Average, S Prep","eoc_40cm_wtavg","eoc40avg_d-1_S","F","4.1","% wt","pedon",,"to be added","Weighted average estimated organic carbon for top 40 cm","<2 mm"
2022,"derived_analyte","Estimated Organic Carbon, Total C, GP prep","eoc_tot_c","eoctotc_d-1_GP","F","4.1","%","layer",,"c_tot_ncs - .12 * caco3","Estimated Organic Carbon based on Total C, GP prep","<2 mm"
2021,"derived_analyte","Estimated Organic Carbon, Total C, N prep","eoc_tot_c","eoctotc_d-1_N","F","4.1","%","layer",,"c_tot_ncs - .12 * caco3","Estimated Organic Carbon based on Total C, N prep","<2 mm"
2020,"derived_analyte","Si, Ox times 8 plus Fe, Ox times 2, M prep, Inst Set 4","si8plusfe2_ox","si8pfe2_d-4_M","F","5.0","% wt","layer",,"to be added","The amount of ammonium oxalate extractable silica times 8 plus the amount of ammonium oxalate extractable iron times 2. It is reported a gravimetric percent on a <2 mm base. M prep.","<2 mm"
2019,"derived_analyte","Si, Ox times 8 plus Fe, Ox times 2, M prep, Inst Set 3","si8plusfe2_ox","si8pfe2_d-3_M","F","5.0","% wt","layer",,"to be added","The amount of ammonium oxalate extractable silica times 8 plus the amount of ammonium oxalate extractable iron times 2. It is reported a gravimetric percent on a <2 mm base. M prep.","<2 mm"
2018,"derived_analyte","Si, Ox times 8 plus Fe, Ox times 2, M prep, Inst Set 2","si8plusfe2_ox","si8pfe2_d-2_M","F","5.0","% wt","layer",,"to be added","The amount of ammonium oxalate extractable silica times 8 plus the amount of ammonium oxalate extractable iron times 2. It is reported a gravimetric percent on a <2 mm base. M prep.","<2 mm"
2017,"derived_analyte","Si, Ox times 8 plus Fe, Ox times 2, M prep, Inst Set 1","si8plusfe2_ox","si8pfe2_d-1_M","F","5.0","% wt","layer",,"to be added","The amount of ammonium oxalate extractable silica times 8 plus the amount of ammonium oxalate extractable iron times 2. It is reported a gravimetric percent on a <2 mm base. M prep.","<2 mm"
2016,"derived_analyte","Si, Ox times 8 plus Fe, Ox times 2, GP prep, Inst Set 4","si8plusfe2_ox","si8pfe2_d-4_GP","F","5.0","% wt","layer",,"to be added","The amount of ammonium oxalate extractable silica times 8 plus the amount of ammonium oxalate extractable iron times 2. It is reported a gravimetric percent on a <2 mm base. GP prep.","<2 mm"
2015,"derived_analyte","Si, Ox times 8 plus Fe, Ox times 2, GP prep, Inst Set 3","si8plusfe2_ox","si8pfe2_d-3_GP","F","5.0","% wt","layer",,"to be added","The amount of ammonium oxalate extractable silica times 8 plus the amount of ammonium oxalate extractable iron times 2. It is reported a gravimetric percent on a <2 mm base. GP prep.","<2 mm"
2014,"derived_analyte","Si, Ox times 8 plus Fe, Ox times 2, GP prep, Inst Set 2","si8plusfe2_ox","si8pfe2_d-2_GP","F","5.0","% wt","layer",,"to be added","The amount of ammonium oxalate extractable silica times 8 plus the amount of ammonium oxalate extractable iron times 2. It is reported a gravimetric percent on a <2 mm base. GP prep.","<2 mm"
676,"derived_analyte","Exchangeable Sodium Percentage No Sat, CEC-Set 2","na_exch_nosat_cec2","ESPnsa_d-2_S","F","3.0","%","layer",,"100.0 * na_nh4 / cec_nh4","This is the exchangeable sodium percentage (ESP), reported on a <2 mm base. Calculated when saturated paste was not run.","<2 mm"
675,"derived_analyte","Exchangeable Sodium Percentage No Sat, CEC-Set 1","na_exch_nosat_cec1","ESPnsa_d-1_S","F","3.0","%","layer",,"100.0 * na_nh4 / cec_nh4","This is the exchangeable sodium percentage (ESP), reported on a <2 mm base. Calculated when saturated paste was not run.","<2 mm"
674,"derived_analyte","Texture, USDA, N prep","tex_psda","Textur_d-3_N","C","4","(NA)","layer",,"to be added","The laboratory determined texture of the <2 mm fraction is calculated from particle size separate data.","<2 mm"
673,"derived_analyte","Silt, Total, N prep","silt_tot_psa","Silt_d-3_N","F","4.1","% wt","layer",,"100.0 - (Clay + Sand)","Total silt is the soil separate with 0.002 to 0.05 mm particle size. It is reported as a gravimetric percent on a <2 mm base.","<2 mm"
672,"derived_analyte","Silt, Coarse, N prep","silt_c_psa","cSilt_d-3_N","F","4.1","% wt","layer",,"CSilt = 100.0 - Clay - FSilt - Sand","Coarse silt is the soil separate with 0.02 to 0.05 mm particle size. It is reported as a gravimetric percent on a <2 mm base.","<2 mm"
671,"derived_analyte","Sand, Total, N prep","sand_tot_psa","Sand_d-3_N","F","4.1","% wt","layer",,"VCSand + CSand + MSand + FSand + VFSand","Total sand is the soil separate with 0.05 to 2.0 mm particle diameter. It is reported a gravimetric percent on a <2 mm base.  H prep.","<2 mm"
670,"derived_analyte","Exchangeable Sodium Percentage, SI-Set 4, CEC-Set 3","na_exch_sat4_cec3","ESPsat_d-13_S","F","3.0","%","layer",,"100.0 * (na_nh4 - (na_satx * (h2osatx / 1000.0))) / cec_nh4","This is the exchangeable sodium percentage (ESP), reported on a <2 mm base. If salts are present, ESP has been corrected for the water soluble Na.","<2 mm"
669,"derived_analyte","Exchangeable Sodium Percentage, SI-Set 4, CEC-Set 2","na_exch_sat4_cec2","ESPsat_d-12_S","F","3.0","%","layer",,"100.0 * (na_nh4 - (na_satx * (h2osatx / 1000.0))) / cec_nh4","This is the exchangeable sodium percentage (ESP), reported on a <2 mm base. If salts are present, ESP has been corrected for the water soluble Na.","<2 mm"
668,"derived_analyte","Exchangeable Sodium Percentage, SI-Set 4, CEC-Set 1","na_exch_sat4_cec1","ESPsat_d-11_S","F","3.0","%","layer",,"100.0 * (na_nh4 - (na_satx * (h2osatx / 1000.0))) / cec_nh4","This is the exchangeable sodium percentage (ESP), reported on a <2 mm base. If salts are present, ESP has been corrected for the water soluble Na.","<2 mm"
667,"derived_analyte","Base Saturation, NH4OAc, pH 7.0, CEC-Set 3","bsesat_cec3","BSSBas_d-3_S","I","3.0","%","layer",,"([base_sum] / [cec_nh4]) * 100","NH4OAC base saturation (pH 7.0) is calculated by (BASE_SUM/CEC_NH4)*100.","<2 mm"
666,"derived_analyte","Base Saturation, NH4OAc, pH 7.0, CEC-Set 2","bsesat_cec2","BSSBas_d-2_S","I","3.0","%","layer",,"([base_sum] / [cec_nh4]) * 100","NH4OAC base saturation (pH 7.0) is calculated by (BASE_SUM/CEC_NH4)*100.","<2 mm"
665,"derived_analyte","Base Saturation, Sum of Cations, pH 8.2, CEC-Set 9","bsecat_cec9","BSSCat_d-9_S","I","3.0","%","layer",,"([base_sum] / [cec_sum]) * 100","Base saturation by sum of cations (pH 8.2) is calculated by (BASE_SUM/CEC_SUM)*100.","<2 mm"
