"","AGENCY.CODE","LABM.CODE","LABP.CODE","LABMT.CODE","LABM.NAME","LABM.SHORT.NAME","LABM.REF","LABM.MASK","LABM.UNITS","LABM.LOW.VALUE","LABM.HIGH.VALUE"
"1",999,"10_BC","SULFUR","10.03","Bicarbonate-extractable sulfur. Keay, Menage and Dean (1972)","Extractable S","CSIRO","","?",NA,NA
"2",999,"10A_NR","SULFUR","10.013","Total sulfur - S(%) - Not recorded","Total S","CSIRO NR","","%",NA,NA
"3",999,"10A1","SULFUR","10.01","Total sulfur - S(%) - X-ray fluorescence","Total S","ASLSH Vol 3","","%",NA,NA
"4",999,"10B","SULFUR","10.02","Extractable sulfur (mg/kg) - Phosphate extractable sulfur","Extractable S","ASLSH Vol 3","","mg/kg",NA,NA
"5",999,"10B_NR","SULFUR","10.020","Extractable sulfur (mg/kg) - Not recorded","Extractable S","CSIRO NR","","mg/kg",NA,NA
"6",999,"10B1","SULFUR","10.02","Calcium phosphate-extractable sulfur - manual distillation","Extractable S","ASLSH Vol 3","","mg/kg",NA,NA
"7",999,"10B2","SULFUR","10.02","Calcium phosphate-extractable sulfur - automated distillation","Extractable S","ASLSH Vol 3","","mg/kg",NA,NA
"8",999,"10B3","SULFUR","10.02","Calcium phosphate-extractable sulfur - ICPAES","Extractable S","ASLSH Vol 3","","mg/kg",NA,NA
"9",999,"10B4","SULFUR","","Calcium phosphate-extractable sulfur - ion chromatography","Extractable S","ASLSH SCM","","mg/kg",NA,NA
"10",999,"10C1","SULFUR","","Calcium phosphate-extractable sulfur - ICPAES, + charcoal (CPC-S)","Extractable S","ASLSH SCM","","mg/kg",NA,NA
"11",999,"10D1","SULFUR","10.04","Potassium chloride - 40 sulfur (KCl-40)-S","Extractable S","ASLSH SCM","","mg/kg",NA,NA
"12",999,"11A1","GYPSUM","11.01","Total gypsum","Total Gypsum","ASLSH Vol 3","","%",NA,NA
"13",999,"11A2","GYPSUM","","Total gypsum - MIR reflectance spectroscopy","Total Gypsum","ASLSH SCM","","%",NA,NA
"14",999,"12_HCL_CU","TOTAL_ELEMENTS","12.061","Total element - Cu(mg/kg) - Total acid(HCl)","Total Cu","CSIRO","","mg/kg",NA,NA
"15",999,"12_HCL_FE","TOTAL_ELEMENTS","12.064","Total element - Fe(%) - Total acid(HCl) extractable Fe","Total Fe","CSIRO","","%",NA,NA
"16",999,"12_HCL_FEO","TOTAL_ELEMENTS","12.065","Total element - Fe(%) - Total acid(HCl) extractable Fe2O3","Total Fe2O3","CSIRO","","%",NA,NA
"17",999,"12_HCL_MN","TOTAL_ELEMENTS","12.053","Total element - Mn(mg/kg) - Total acid(HCl)","Total Mn","CSIRO","","mg/kg",NA,NA
"18",999,"12_HCL_ZN","TOTAL_ELEMENTS","12.062","Total element - Zn(mg/kg) - Total acid(HCl)","Total Zn","CSIRO","","mg/kg",NA,NA
"19",999,"12_HF_CU","TOTAL_ELEMENTS","12.041","Total element - Cu(mg/kg) - HF/HClO4 Digest","Total Cu","CSIRO","","mg/kg",NA,NA
"20",999,"12_HF_FE","TOTAL_ELEMENTS","12.044","Total element - Fe(%) - HF/HClO4 Digest","Total Fe","CSIRO","","%",NA,NA
"21",999,"12_HF_MN","TOTAL_ELEMENTS","12.043","Total element - Mn(mg/kg) - HF/HClO4 Digest","Total Mn","CSIRO","","mg/kg",NA,NA
"22",999,"12_HF_ZN","TOTAL_ELEMENTS","12.042","Total element - Zn(mg/kg) - HF/HClO4 Digest","Total Zn","CSIRO","","mg/kg",NA,NA
"23",999,"12_HF+_FEO","TOTAL_ELEMENTS","12.044","Total element - Fe(%) - HF/HClO4 Digest(Fe2O3)","Total Fe","CSIRO","","%",NA,NA
"24",999,"12_NR_CU","TOTAL_ELEMENTS","12.001","Total element - Cu(mg/kg) - Not recorded","Total Cu","CSIRO NR","","mg/kg",NA,NA
"25",999,"12_NR_FE","TOTAL_ELEMENTS","12.004","Total element - Fe(%) - Not recorded","Total Fe","CSIRO NR","","%",NA,NA
"26",999,"12_NR_MN","TOTAL_ELEMENTS","12.003","Total element - Mn(mg/kg) - Not recorded","Total Mn","CSIRO NR","","mg/kg",NA,NA
"27",999,"12_NR_ZN","TOTAL_ELEMENTS","12.002","Total element - Zn(mg/kg) - Not recorded","Total Zn","CSIRO NR","","mg/kg",NA,NA
"28",999,"12_XRF_CU","TOTAL_ELEMENTS","12.051","Total element - Cu(mg/kg) - X-Ray Fuoresence","Total Cu","CSIRO","","mg/kg",NA,NA
"29",999,"12_XRF_FE","TOTAL_ELEMENTS","12.054","Total element - Fe(%) - X-Ray Fuoresence","Total Fe","CSIRO","","%",NA,NA
"30",999,"12_XRF_FEO","TOTAL_ELEMENTS","12.055","Total element - Fe(%) - X-Ray Fuoresence (Fe2O3)","Total Fe2O3","CSIRO","","%",NA,NA
"31",999,"12_XRF_MN","TOTAL_ELEMENTS","12.053","Total element - Mn(mg/kg) - X-Ray Fuoresence","Total Mn","CSIRO","","mg/kg",NA,NA
"32",999,"12_XRF_ZN","TOTAL_ELEMENTS","12.052","Total element - Zn(mg/kg) - X-Ray Fuoresence","Total Zn","CSIRO","","mg/kg",NA,NA
"33",999,"12A1_AL","AL","12.014","DTPA - extractable copper, zinc, manganese,aluminium and iron","Extractable Al","ASLSH Vol 3","","mg/kg",NA,NA
"34",999,"12A1_CU","CU","12.011","DTPA - extractable copper, zinc, manganese and iron","Extractable Cu","ASLSH Vol 3","","mg/kg",NA,NA
"35",999,"12A1_FE","FE","12.014","DTPA - extractable copper, zinc, manganese and iron","Extractable Fe","ASLSH Vol 3","","mg/kg",NA,NA
"36",999,"12A1_MN","MN","12.013","DTPA - extractable copper, zinc, manganese and iron","Extractable Mn","ASLSH Vol 3","","mg/kg",NA,NA
"37",999,"12A1_ZN","ZN","12.012","DTPA - extractable copper, zinc, manganese and iron","Extractable Zn","ASLSH Vol 3","","mg/kg",NA,NA
"38",999,"12B1_CU","CU","12.021","Ammonium bicarbonate/EDTA - extractable copper","Extractable Cu","ASLSH Vol 3","","mg/kg",NA,NA
"39",999,"12B1_FE","FE","12.024","Ammonium bicarbonate/EDTA - extractable Iron","Extractable Fe","ASLSH Vol 3","","mg/kg",NA,NA
"40",999,"12B1_MN","MN","12.023","Ammonium bicarbonate/EDTA - extractable manganese","Extractable Mn","ASLSH Vol 3","","mg/kg",NA,NA
"41",999,"12B1_ZN","ZN","12.022","Ammonium bicarbonate/EDTA - extractable zinc","Extractable Zn","ASLSH Vol 3","","mg/kg",NA,NA
"42",999,"12C1","BORON","12.03","Calcium chloride extractable boron - manual colour","Extractable B","ASLSH Vol 3","","mg/kg",NA,NA
"43",999,"12C2","BORON","12.03","Calcium chloride extractable boron - ICPAES","Extractable B","ASLSH Vol 3","","mg/kg",NA,NA
"44",999,"12D1_CU","CU","","0.1 M HCl - extractable copper, zinc, manganese and iron","Extractable Cu","ASLSH SCM","","mg/kg",NA,NA
"45",999,"12D1_FE","FE","","0.1 M HCl - extractable copper, zinc, manganese and iron","Extractable Fe","ASLSH SCM","","mg/kg",NA,NA
"46",999,"12D1_MN","MN","","0.1 M HCl - extractable copper, zinc, manganese and iron","Extractable Mn","ASLSH SCM","","mg/kg",NA,NA
"47",999,"12D1_ZN","ZN","","0.1 M HCl - extractable copper, zinc, manganese and iron","Extractable Zn","ASLSH SCM","","mg/kg",NA,NA
"48",999,"12E1","MO","","Calcium chloride - extractable Mo","Extractable Mo","ASLSH SCM","","mg/kg",NA,NA
"49",999,"13_C_FE","TOTAL_ELEMENTS","13.0011","Extractable Fe(%) - Method recorded as C","Extractable Fe","CSIRO","","%",NA,NA
"50",999,"13_NR_AL","TOTAL_ELEMENTS","13.0021","Extractable Al(%) - Not recorded","Extractable Al","CSIRO NR","","%",NA,NA
"51",999,"13_NR_FE","TOTAL_ELEMENTS","13.001","Extractable Fe(%) - Not recorded","Extractable Fe","CSIRO NR","","%",NA,NA
"52",999,"13_NR_MN","TOTAL_ELEMENTS","13.0021","Extractable Mn(%) - Not recorded","Extractable Mn","CSIRO NR","","%",NA,NA
"53",999,"13A1_AL","AL","13.012","Oxalate-extractable aluminium","Extractable Al","ASLSH Vol 3","","%",NA,NA
"54",999,"13A1_FE","FE","13.011","Oxalate-extractable iron","Extractable Fe","ASLSH Vol 3","","%",NA,NA
"55",999,"13A1_MN","MN","13.013","Oxalate-extractable manganese","Extractable Mn","ASLSH Vol 3","","%",NA,NA
"56",999,"13A1_SI","SI","13.014","Oxalate-extractable silicon","Extractable Si","ASLSH Vol 3","","%",NA,NA
"57",999,"13B1_AL","AL","13.022","Pyrophosphate-extractable aluminium","Extractable Al","ASLSH Vol 3","","%",NA,NA
"58",999,"13B1_FE","FE","13.021","Pyrophosphate-extractable iron","Extractable Fe","ASLSH Vol 3","","%",NA,NA
"59",999,"13C_C_FE","TOTAL_ELEMENTS","13.03 ","Extractable Fe (Free) % - Method recorded as C","Extractable Fe(Free)","CSIRO","","%",NA,NA
"60",999,"13C1_AL","AL","13.032","Citrate/dithionite-extractable iron, aluminium, Manganese and Silicon","Extractable Al","ASLSH Vol 3","","%",NA,NA
"61",999,"13C1_FE","FE","13.031","Citrate/dithionite-extractable iron, aluminium, Manganese and Silicon","Extractable Fe","ASLSH Vol 3","","%",NA,NA
