"","pronas.in.name","pronas.out.name","unlist.pronas.fun.lst."
"1","sigla","site_key","paste(x)"
"2","codigo_pon","usiteid","paste(x)"
"3","data_colet","site_obsdate","paste(x)"
"4","gcs_latitu","latitude_decimal_degrees","as.numeric(x)*1"
"5","gcs_longit","longitude_decimal_degrees","as.numeric(x)*1"
"6","simbolo_ho","hzn_desgn","paste(x)"
"7","profundida","hzn_bot","as.numeric(x)*1"
"8","profundi_1","hzn_top","as.numeric(x)*1"
"9","cascalho","wpg2","as.numeric(x)*1"
"10","areia_tota","sand_tot_psa","round(as.numeric(x)/10, 1)"
"11","silte","silt_tot_psa","round(as.numeric(x)/10, 1)"
"12","argila","clay_tot_psa","round(as.numeric(x)/10, 1)"
"13","densidade_","db_od","as.numeric(x)*1"
"14","ph_h2o","ph_h2o","as.numeric(x)*1"
"15","ph_kcl","ph_kcl","as.numeric(x)*1"
"16","complexo_s","ca_ext","as.numeric(x)*200"
"17","complexo_1","mg_ext","as.numeric(x)*121"
"18","complexo_2","k_ext","as.numeric(x)*391"
"19","complexo_3","na_ext","as.numeric(x)*230"
"20","valor_s","cec_sum","as.numeric(x)*1"
"21","carbono_or","oc","as.numeric(x)*1"
"22","nitrogenio","n_tot","as.numeric(x)*1"
"23","condutivid","ec_satp","as.numeric(x)*1"
"24","classe_tex","tex_psda","paste(x)"
