Table,Code,USDA_tax,SSL_classification_name
C_O_SOIL_TAXONOMY,A,Alfisol,
C_O_SOIL_TAXONOMY,AAQ,Aqualf,
C_O_SOIL_TAXONOMY,AAQAL,Albaqualf,typic albaqualfs / mollic albaqualfs
C_O_SOIL_TAXONOMY,AAQDU,Duraqualf,typic duraqualfs
C_O_SOIL_TAXONOMY,AAQFR,Fragiaqualf,typic fragiaqualfs
C_O_SOIL_TAXONOMY,AAQGL,Glossaqualf,typic glossaqualfs
C_O_SOIL_TAXONOMY,AAQKA,Kandiaqualf,typic kandiaqualfs
C_O_SOIL_TAXONOMY,AAQNA,Natraqualf,typic natraqualfs
C_O_SOIL_TAXONOMY,AAQOC,Ochraqualf,typic ochraqualfs
C_O_SOIL_TAXONOMY,AAQPN,Plinthaqualf,typic plinthaqualfs
C_O_SOIL_TAXONOMY,AAQUM,Umbraqualf,typic umbraqualfs
C_O_SOIL_TAXONOMY,ABO,Boralf,
C_O_SOIL_TAXONOMY,ABOCR,Cryoboralf,typic cryoboralfs
C_O_SOIL_TAXONOMY,ABOEU,Eutroboralf,typic eutroboralfs
C_O_SOIL_TAXONOMY,ABOFR,Fragiboralf,typic fragiboralfs
C_O_SOIL_TAXONOMY,ABOGL,Glossoboralf,typic glossoboralfs
C_O_SOIL_TAXONOMY,ABONA,Natriboralf,typic natriboralfs
C_O_SOIL_TAXONOMY,ABOPA,Paleboralf,typic paleboralfs
C_O_SOIL_TAXONOMY,AUD,Udalf,
C_O_SOIL_TAXONOMY,AUDAG,Agrudalf,typic agrudalfs
C_O_SOIL_TAXONOMY,AUDFE,Ferrudalf,typic ferrudalfs
C_O_SOIL_TAXONOMY,AUDFR,Fragiudalf,typic fragiudalfs
C_O_SOIL_TAXONOMY,AUDFS,Fraglossudalf,typic fraglossudalfs
C_O_SOIL_TAXONOMY,AUDGL,Glossudalf,typic glossudalfs
C_O_SOIL_TAXONOMY,AUDHA,Halpludalf,typic halpludalfs
C_O_SOIL_TAXONOMY,AUDKA,Kandiudalf,typic kandiudalfs
C_O_SOIL_TAXONOMY,AUDKH,Kanhapludalf,typic kanhapludalfs
C_O_SOIL_TAXONOMY,AUDNA,Natrudalf,typic natrudalfs
C_O_SOIL_TAXONOMY,AUDPA,Paleudalf,typic paleudalfs
C_O_SOIL_TAXONOMY,AUDTR,Tropudalf,typic tropudalfs
C_O_SOIL_TAXONOMY,AUS,Ustalf,
